cancer_code,source_review_status,source_locator,tmb_assay,source_review_notes,reviewed_on,reference,source_title,legacy_value
HNSC_HPVneg,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:25631445,Comprehensive genomic characterization of head and neck squamous cell carcinomas.,
HNSC_HPVpos,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:25631445,Comprehensive genomic characterization of head and neck squamous cell carcinomas.,
SARC,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. DOI source requires primary-table verification.",2026-09-15,DOI:10.1016/j.cell.2017.10.014,Comprehensive and Integrated Genomic Characterization of Adult Soft Tissue Sarcomas.,
SARC_LPS_UNSPEC,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. DOI source requires primary-table verification.",2026-09-15,DOI:10.1016/j.cell.2017.10.014,Comprehensive and Integrated Genomic Characterization of Adult Soft Tissue Sarcomas.,
SARC_RMS_PRMS,needs_source_review,,,Pediatric pan-cancer source does not establish an adult pleomorphic or separate spindle/sclerosing RMS median; subtype proxy requires replacement.,2026-09-15,PMID:29489754,The landscape of genomic alterations across childhood cancers.,
SARC_RMS_SSRMS,needs_source_review,,,Pediatric pan-cancer source does not establish an adult pleomorphic or separate spindle/sclerosing RMS median; subtype proxy requires replacement.,2026-09-15,PMID:29489754,The landscape of genomic alterations across childhood cancers.,
BCC,source_checked,Additional file 3 Table S1; Sheet1!A2:C2; skin basal cell carcinoma,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: skin basal cell carcinoma; 92 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",65
cSCC,source_checked,Additional file 3 Table S1; Sheet1!A3:C3; skin squamous cell carcinoma (scc),targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: skin squamous cell carcinoma (scc); 266 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",45
EPN,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:29489754,The landscape of genomic alterations across childhood cancers.,
DIPG,needs_source_review,,,Source discusses per-tumor mutation counts; the curated subtype-specific per-Mb median and callable denominator have not been reproduced.,2026-09-15,PMID:28966033,"Integrated Molecular Meta-Analysis of 1,000 Pediatric High-Grade and Diffuse Intrinsic Pontine Glioma.",
VSCC,source_checked,Additional file 3 Table S1; Sheet1!A29:C29; vulva squamous cell carcinoma (scc),targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: vulva squamous cell carcinoma (scc); 72 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",5.6
VAGC,audited_gap,,,"Inventory/metadata audit completed; exact statistic, cohort and assay require source-level revalidation.",2026-09-15,,,
PENSCC,source_checked,Additional file 3 Table S1; Sheet1!A39:C39; penis squamous cell carcinoma (scc),targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: penis squamous cell carcinoma (scc); 60 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",4.5
ANSC,source_checked,Additional file 3 Table S1; Sheet1!A24:C24; anus squamous cell carcinoma (scc),targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: anus squamous cell carcinoma (scc); 232 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",5.0
GBC,source_checked,"Results: Molecular analysis, Figure 3A/C; Methods: Next generation sequencing; https://pmc.ncbi.nlm.nih.gov/articles/PMC9637208/",TSO500_coding_synonymous_and_nonsynonymous,"Median 5.5; 96 TMB-evaluable samples, not 642 pathology patients or all 100 sequenced samples. Total TMB includes synonymous variants; 54-gene panel is only the actionable-gene analysis. Results threshold >=10 takes precedence over abstract >10. Selection >=pT2a and >=30% neoplastic cells.",2026-09-16,DOI:10.1038/s41698-022-00327-y,Comprehensive clinicopathological and genomic profiling of gallbladder cancer reveals actionable targets in half of patients.,
CRANIO,needs_source_review,Main text preceding Figure 1; Figure 1 legend; Supplementary Tables 1-2; https://pmc.ncbi.nlm.nih.gov/articles/PMC3982316/,WES_nonsynonymous,"Confirmed 0.9/Mb concerns all 15 discovery cases (12 adamantinomatous, three papillary). Source prose does not explicitly label this summary statistic; Figure 1 orders types by median without printing a numerical median. Downloaded supplement metadata/MAF does not establish the sample callable denominators needed here. Keep needs_source_review; repair incorrect n=3/papillary scope.",2026-09-16,PMID:24413733,Exome sequencing identifies BRAF mutations in papillary craniopharyngiomas.,
PITNET,audited_gap,,,"Inventory/metadata audit completed; exact statistic, cohort and assay require source-level revalidation.",2026-09-15,,,
SARC_DSRCT,source_checked,"Results, DSRCT has low mutation burden; Figure 1A",WES_coding,22 specimens from 14 patients; multisite specimens are correlated. Corrects misattributed author Bertucci.,2026-09-15,PMID:35379887,Multi-site desmoplastic small round cell tumors are genetically related and immune-cold.,
SARC_GIST,source_checked,"Results, Aggressive GISTs harbor more genomic aberrations; Figure 1A",WES_WGS_coding,"Coding mutation median across 78 tumors (59 WES, 19 WGS); specimens include repeated sampling of patients; not 78 independent patients.",2026-09-15,PMID:39489749,Genomic and transcriptomic landscape of human gastrointestinal stromal tumors.,
NEC_LUNG_LARGECELL,source_checked,Additional file 3 Table S1; Sheet1!A9:C9; lung large cell neuroendocrine carcinoma,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: lung large cell neuroendocrine carcinoma; 288 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",8.6
SARC_SMARCA4,source_checked,"Table 1; Results, Tumor Pathologic Characteristics",clinical_targeted_panels,"TMB available in 48/92 thoracic SMARCA4-deficient undifferentiated tumors; table/body median 10.6, abstract rounded differently to 10.5. Thoracic subset.",2026-09-15,PMID:39802817,Brief Report: Clinical Characteristics and Outcomes of Patients With Thoracic SMARCA4-Deficient Undifferentiated Tumors.,
NET_MIDGUT,source_checked,"Results, primary-localization comparison",WGS_genome_wide,Midgut advanced NET median 1.05; replaces prior gap from a different source.,2026-09-15,PMID:34326338,The genomic landscape of 85 advanced neuroendocrine neoplasms reveals subtype-heterogeneity and potential therapeutic targets.,
NET_RECTAL,source_checked,"Abstract; Methods, Whole-exome sequencing",WES_coding,"Median across 18 rectal NET tumors, range 0.03-23.28.",2026-09-15,PMID:36645718,Whole-exome sequencing of rectal neuroendocrine tumors.,
NET_LUNG,source_checked,Results first paragraph; Figure 1c; https://pmc.ncbi.nlm.nih.gov/articles/PMC4132974/,WGS_WES_nonsynonymous,"Source explicitly reports mean 0.4, not median. 44 independent tumor-normal pairs: 29 WGS and 15 WES. Store in mean column; retain median as missing.",2026-09-16,PMID:24670920,Frequent mutations in chromatin-remodelling genes in pulmonary carcinoids.,0.4
SARC_CIC,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:29901569,Clinicopathologic Features of a Series of Primary Renal CIC-rearranged Sarcomas With Comprehensive Molecular Analysis.,
NBL_MYCNamp,source_checked,"Supplementary Table 1, Master_Table; MYCNamp column J and Nonsilent per Mb column BB; rows 3-242",WES_WGS_nonsilent_callable_exonic,"Recomputed median 0.4330966 nonsilent mutations/Mb (rounded 0.43) in 77 MYCN-amplified high-risk neuroblastomas, from published individual rates in Pugh 2013 Table S1. MYCN=1 only; five unknown-status cases excluded from subgroup calculations. Not a published subgroup summary or an ICI response estimate. Source extract, hash, and calculation are in docs/audits/tmb-pugh2013-*.",2026-09-16,PMID:23334666,The genetic landscape of high-risk neuroblastoma.,0.6
NBL_MYCNnonamp,source_checked,"Results, TMB and mutational signature; Figure 3c; Methods, Sequence analysis",WES_nonsynonymous_coding_SureSelect_V5,"Lee 2020 reports median 0.66 nonsynonymous mutations/Mb in 58 MYCN-nonamplified neuroblastomas after WES QC. All East Asian patients, 26 high-risk and 32 non-high-risk; outlier tumors retained. SureSelect Human All Exon V5; synonymous variants excluded; somatic variants divided by target coding region. Independent of the high-risk-only Pugh cohort.",2026-09-16,PMID:33172452,Genomic profile of MYCN non-amplified neuroblastoma and potential for immunotherapeutic strategies in neuroblastoma.,0.6
MBL_WNT,needs_source_review,,,Source discusses per-tumor mutation counts; the curated subtype-specific per-Mb median and callable denominator have not been reproduced.,2026-09-15,PMID:28726821,The whole-genome landscape of medulloblastoma subtypes.,
MBL_SHH,needs_source_review,,,Source discusses per-tumor mutation counts; the curated subtype-specific per-Mb median and callable denominator have not been reproduced.,2026-09-15,PMID:28726821,The whole-genome landscape of medulloblastoma subtypes.,
MBL_G3,needs_source_review,,,Source discusses per-tumor mutation counts; the curated subtype-specific per-Mb median and callable denominator have not been reproduced.,2026-09-15,PMID:28726821,The whole-genome landscape of medulloblastoma subtypes.,
MBL_G4,needs_source_review,,,Source discusses per-tumor mutation counts; the curated subtype-specific per-Mb median and callable denominator have not been reproduced.,2026-09-15,PMID:28726821,The whole-genome landscape of medulloblastoma subtypes.,
LUAD_EGFR,source_checked_proxy,"Results, TMB across EGFR mutation subtypes; Table 2; Methods, study cohorts",mixed_WES_panel_nonsynonymous,"Best-effort LUAD_EGFR proxy: explicitly reported median 3.8 and mean 5.6 nonsynonymous mut/Mb in 383 EGFR-mutant lung cancers, irrespective of treatment history. MSK n=313, Yale n=17, TCGA n=53; mixed panels/WES with platform-specific captured coding denominators. Broader lung cohort not verified as exclusively adenocarcinoma. This is separate from the 171-patient ICI-treated cohort; not an ICI response statistic. Replaces unrelated original citation for 3.5.",2026-09-16,PMID:31086949,EGFR mutation subtypes and response to immune checkpoint blockade treatment in non-small-cell lung cancer,3.5
HCL,approximation_reviewed,"Table 2, Unflagged column; Table 3; Methods, Whole Exome Sequencing and Bioinformatics",WES_nonsynonymous_nominal_capture_approximation,"Approximate 0.2 mut/Mb from five classic HCL exomes: unflagged nonsynonymous counts 10,22,7,10,4 have median 10; divide by nominal 44.1-50 Mb capture sizes to obtain 0.20-0.23. Not a published TMB median or an independently validated callable-coding rate; sample-specific platform assignments and callable intersections are unavailable. Restrictive variant filtering matters: all candidate nonsynonymous counts 19,32,14,34,19 yield 0.38-0.43 by the same approximation. Ranges describe method sensitivity, not confidence intervals. Same rounded point as the withdrawn 0.2, with a different source and explicit approximate provenance.",2026-09-16,PMID:26871591,Exome Sequencing in Classic Hairy Cell Leukaemia Reveals Widespread Variation in Acquired Somatic Mutations between Individual Tumours Apart from the Signature BRAF V(600)E Lesion,0.2
ACINIC,source_checked,Additional file 3 Table S1; Sheet1!A122:C122; salivary gland acinic cell tumor,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: salivary gland acinic cell tumor; 81 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",2.6
ALCL,audited_gap,,,"Inventory/metadata audit completed; exact statistic, cohort and assay require source-level revalidation.",2026-09-15,,,
URETH,audited_gap,,,"Inventory/metadata audit completed; exact statistic, cohort and assay require source-level revalidation.",2026-09-15,,,
UCEC_POLE,source_checked,"Results, group A; Figure 1B; Methods, Molecular subtyping",targeted_panel_TSO500,"Median 150.8 mut/Mb in 61 endometrial cancers with one of 11 pathogenic POLE hotspot variants; TSO500 tumor-only 523-gene panel. Includes 16 multiple-classifier tumors; not unselected POLE VUS. A genomic cohort, not an ICI response trial.",2026-09-15,PMID:39865420,POLE mutations in endometrial carcinoma: Clinical and genomic landscape from a large prospective single-center cohort.,100
UCEC_MSI,source_checked,"Table 2; Results, Association between POLE mutations and MSI; Methods, Analysis of mutation frequency",WES_coding_including_synonymous,TCGA reanalysis: median 21.5 mut/Mb in 127 MSI-H endometrial cancers without POLE mutations. Coding substitutions (including synonymous) and indels divided by 38 Mb. Replaces the unsupported median label on the TCGA 2013 subgroup rate of 18.,2026-09-15,PMID:31829442,Interpretation of somatic POLE mutations in endometrial carcinoma.,18
UCEC_CNL,source_checked,"Results, Somatic mutations; Figure 2a/b, copy-number-low n=90",WES_somatic_mutation_rate,"Reported copy-number-low subgroup mutation rate 2.9 mut/Mb; n=90 in Figure 2. Exact summary statistic not established, so neither mean nor median is asserted. Figure 2 explicitly labels mutations per Mb; the prose combines x10^-6 with per-Mb wording, a unit inconsistency resolved against the figure scale. Original TCGA molecular class, not automatically equivalent to an IHC surrogate. Replaces unsupported legacy median; response anchors remain separate explicit gaps.",2026-09-16,PMID:23636398,Integrated genomic characterization of endometrial carcinoma,2.5
UCEC_CNH,source_checked,"Results, Somatic mutations; Figure 2a/b, copy-number-high n=60",WES_somatic_mutation_rate,"Reported copy-number-high subgroup mutation rate 2.3 mut/Mb; n=60 in Figure 2. Exact summary statistic not established, so neither mean nor median is asserted. Figure 2 explicitly labels mutations per Mb; the prose combines x10^-6 with per-Mb wording, a unit inconsistency resolved against the figure scale. Original TCGA molecular class, not automatically equivalent to an IHC surrogate. Replaces unsupported legacy median; response anchors remain separate explicit gaps.",2026-09-16,PMID:23636398,Integrated genomic characterization of endometrial carcinoma,2.8
CRC_MSI,needs_source_review,"Figure 2 / Additional file 3, Table S1; exact row not revalidated",targeted_panel,"Read Chalmers full text and Additional file 3 Table S1. No exact matching population/median row recovered: Table S1 is not MSI-stratified; the 46 median still needs original MSI-specific data. Legacy estimate remains unverified, not a published median.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",
CRC,needs_source_review,,,"Source cohort includes 6004 CRC samples, but pooled median 4.5 and MSI/MSS medians require exact full-text or supplement verification.",2026-09-15,PMID:30151257,Beyond microsatellite testing: assessment of tumor mutational burden identifies subsets of colorectal cancer who may respond to immune checkpoint inhibition.,
MENINGIOMA,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. DOI source requires primary-table verification.",2026-09-15,DOI:10.1038/s41598-018-31659-0,An integrated genomic analysis of anaplastic meningioma identifies prognostic molecular signatures.,
CHOROID_PLEXUS,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:33249490,The genetic landscape of choroid plexus tumors in children and adults.,
ATC,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. DOI source requires primary-table verification.",2026-09-15,DOI:10.1016/j.celrep.2024.113826,The genomic and evolutionary landscapes of anaplastic thyroid carcinoma.,
THYMCA,source_checked,Additional file 3 Table S1; Sheet1!A100:C100; thymus carcinoma (nos),targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: thymus carcinoma (nos); 168 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",0.7
STAD_MSI,audited_gap,,,"Inventory/metadata audit completed; exact statistic, cohort and assay require source-level revalidation.",2026-09-15,PMID:28420421;PMID:25079317,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.; Comprehensive molecular characterization of gastric adenocarcinoma.",
